GRID_CODE	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW	JHAR	JSOW
47077	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329	173.2920074	251.040329
47078	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371	172.6710205	251.0449371
47079	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454	174.0682068	255.7659454
47080	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146	179.0451355	261.7025146
47081	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652	172.9110718	256.6730652
47082	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043	172.1815033	256.4407043
47083	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643	175.2549286	260.0733643
47084	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011	169.6942444	257.9299011
47085	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594	166.6803894	258.5571594
47086	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487	175.2720184	258.5836487
